	venue	innings	ball	batting_team	bowling_team	batsmen	bowlers	runs
255	Brabourne Stadium	2	5.6	Royal Challengers Bangalore	Mumbai Indians	"MK Pandey,JH Kallis"	"KA Pollard,Z Khan,DJ Bravo,SL Malinga"	55
256	Barabati Stadium	1	5.6	Deccan Chargers	Delhi Daredevils	"MD Mishra,HH Gibbs,AC Gilchrist,A Symonds"	"DP Nannes,Y Nagar,A Mishra,S Ladda"	47
257	Barabati Stadium	2	5.6	Delhi Daredevils	Deccan Chargers	"AB de Villiers,V Sehwag,DA Warner"	"RP Singh,PP Ojha,RG Sharma,WPUJC Vaas"	48
258	MA Chidambaram Stadium	1	5.6	Kings XI Punjab	Chennai Super Kings	"IK Pathan,RS Bopara,KC Sangakkara"	"JA Morkel,MS Gony,R Ashwin,L Balaji"	38
259	MA Chidambaram Stadium	2	5.7	Chennai Super Kings	Kings XI Punjab	"PA Patel,ML Hayden"	"J Theron,IK Pathan,RR Powar,SJ Srivastava"	42
26	Punjab Cricket Association IS Bindra Stadium	1	5.6	Delhi Daredevils	Kings XI Punjab	"Shoaib Malik,S Dhawan,V Sehwag,G Gambhir"	"IK Pathan,B Lee,S Sreesanth,VRV Singh"	45
260	Brabourne Stadium	1	5.8	Kolkata Knight Riders	Mumbai Indians	"CH Gayle,SC Ganguly"	"Z Khan,R McLaren,DJ Bravo,SL Malinga"	41
261	Brabourne Stadium	2	5.6	Mumbai Indians	Kolkata Knight Riders	"SR Tendulkar,S Dhawan"	"CH Gayle,SE Bond,I Sharma"	57
262	M Chinnaswamy Stadium	1	5.6	Royal Challengers Bangalore	Chennai Super Kings	"MK Pandey,R Dravid,JH Kallis"	"S Tyagi,JA Morkel,L Balaji"	38
263	M Chinnaswamy Stadium	2	5.6	Chennai Super Kings	Royal Challengers Bangalore	"PA Patel,GJ Bailey,ML Hayden"	"A Kumble,P Kumar,DW Steyn,JH Kallis"	29
264	Punjab Cricket Association IS Bindra Stadium	1	5.7	Rajasthan Royals	Kings XI Punjab	"MJ Lumb,NV Ojha,FY Fazal"	"IK Pathan,S Sreesanth,SJ Srivastava"	53
265	Punjab Cricket Association IS Bindra Stadium	2	5.7	Kings XI Punjab	Rajasthan Royals	"MS Bisla,RS Bopara,KC Sangakkara"	"MM Patel,SW Tait,SK Warne"	76
266	Brabourne Stadium	1	5.6	Chennai Super Kings	Mumbai Indians	"PA Patel,SK Raina,S Badrinath,ML Hayden"	"Harbhajan Singh,Z Khan,DJ Bravo,R McLaren"	51
267	Brabourne Stadium	2	5.6	Mumbai Indians	Chennai Super Kings	"SR Tendulkar,S Dhawan"	"JA Morkel,Joginder Sharma,L Balaji"	63
268	M Chinnaswamy Stadium	1	5.6	Delhi Daredevils	Royal Challengers Bangalore	"KD Karthik,AB de Villiers,V Sehwag,DA Warner"	"P Kumar,R Vinay Kumar,DW Steyn,JH Kallis"	64
269	M Chinnaswamy Stadium	2	5.7	Royal Challengers Bangalore	Delhi Daredevils	"MK Pandey,JH Kallis"	"PJ Sangwan,DP Nannes,UT Yadav"	46
27	Punjab Cricket Association IS Bindra Stadium	2	5.6	Kings XI Punjab	Delhi Daredevils	"K Goel,KC Sangakkara,DPMD Jayawardene,SM Katich"	"GD McGrath,Mohammad Asif,MF Maharoof"	55
270	Sardar Patel Stadium	1	5.6	Deccan Chargers	Rajasthan Royals	"VVS Laxman,A Symonds,HH Gibbs,AC Gilchrist"	"SW Tait,S Narwal,SK Trivedi,AA Jhunjhunwala"	55
271	Sardar Patel Stadium	2	5.6	Rajasthan Royals	Deccan Chargers	"MJ Lumb,NV Ojha"	"RP Singh,RG Sharma,R Sharma,WPUJC Vaas"	54
272	Punjab Cricket Association IS Bindra Stadium	1	5.7	Kolkata Knight Riders	Kings XI Punjab	"CH Gayle,Mandeep Singh,MK Tiwary,SC Ganguly"	"VS Malik,IK Pathan,B Lee,SJ Srivastava"	50
273	Punjab Cricket Association IS Bindra Stadium	2	5.6	Kings XI Punjab	Kolkata Knight Riders	"MS Bisla,Yuvraj Singh,RS Bopara,KC Sangakkara"	"CH Gayle,SE Bond,AB Dinda,AB Agarkar"	42
274	Sardar Patel Stadium	1	5.6	Rajasthan Royals	Chennai Super Kings	"MJ Lumb,NV Ojha,FY Fazal"	"T Thushara,JA Morkel,M Muralitharan"	58
275	Sardar Patel Stadium	2	5.6	Chennai Super Kings	Rajasthan Royals	"SK Raina,M Vijay,ML Hayden"	"SW Tait,S Narwal,YK Pathan"	58
276	Dr DY Patil Sports Academy	1	5.6	Mumbai Indians	Deccan Chargers	"SR Tendulkar,S Dhawan,DJ Bravo"	"RP Singh,KAJ Roach,PP Ojha,Jaskaran Singh"	52
277	Dr DY Patil Sports Academy	2	5.7	Deccan Chargers	Mumbai Indians	"MD Mishra,HH Gibbs,AC Gilchrist,A Symonds"	"Harbhajan Singh,Z Khan,SL Malinga,R McLaren"	50
278	Feroz Shah Kotla	1	5.6	Delhi Daredevils	Kolkata Knight Riders	"KD Karthik,G Gambhir,V Sehwag,DA Warner,PD Collingwood"	"CH Gayle,CK Langeveldt,I Sharma,DJ Hussey"	62
279	Feroz Shah Kotla	2	5.6	Kolkata Knight Riders	Delhi Daredevils	"Mandeep Singh,DJ Hussey,CH Gayle,MK Tiwary,SC Ganguly"	"DP Nannes,A Mishra,AB McDonald"	36
28	M Chinnaswamy Stadium	1	5.6	Chennai Super Kings	Royal Challengers Bangalore	"PA Patel,MEK Hussey,ML Hayden"	"Z Khan,P Kumar,DW Steyn"	36
280	Brabourne Stadium	1	5.7	Kings XI Punjab	Mumbai Indians	"MS Bisla,DPMD Jayawardene,RS Bopara,SE Marsh"	"Harbhajan Singh,Z Khan,SL Malinga,R McLaren"	48
281	Brabourne Stadium	2	5.7	Mumbai Indians	Kings XI Punjab	"KA Pollard,SR Tendulkar,S Dhawan"	"IK Pathan,B Lee,SJ Srivastava,PP Chawla,VS Malik"	45
282	MA Chidambaram Stadium	1	5.8	Royal Challengers Bangalore	Chennai Super Kings	"MK Pandey,RV Uthappa,JH Kallis"	"T Thushara,JA Morkel,MS Gony"	52
283	MA Chidambaram Stadium	2	5.6	Chennai Super Kings	Royal Challengers Bangalore	"M Vijay,ML Hayden"	"A Kumble,P Kumar,DW Steyn,JH Kallis"	56
284	Feroz Shah Kotla	1	5.6	Delhi Daredevils	Rajasthan Royals	"KM Jadhav,G Gambhir,V Sehwag,DA Warner,PD Collingwood"	"SW Tait,S Narwal,AC Voges,YK Pathan"	52
285	Feroz Shah Kotla	2	5.6	Rajasthan Royals	Delhi Daredevils	"MJ Lumb,AA Jhunjhunwala,NV Ojha,FY Fazal,AC Voges,YK Pathan"	"UT Yadav,MF Maharoof,A Mishra,AB McDonald"	39
286	Eden Gardens	1	5.6	Kolkata Knight Riders	Deccan Chargers	"CA Pujara,CH Gayle,SC Ganguly"	"KAJ Roach,Harmeet Singh,A Symonds,Jaskaran Singh"	46
287	Eden Gardens	2	5.6	Deccan Chargers	Kolkata Knight Riders	"MD Mishra,HH Gibbs,AC Gilchrist"	"MB Parmar,SE Bond,AB Agarkar,M Kartik"	59
288	Punjab Cricket Association IS Bindra Stadium	1	5.6	Kings XI Punjab	Royal Challengers Bangalore	"KC Sangakkara,MS Bisla,SE Marsh"	"P Kumar,R Vinay Kumar,DW Steyn,JH Kallis"	41
289	Punjab Cricket Association IS Bindra Stadium	2	5.6	Royal Challengers Bangalore	Kings XI Punjab	"KP Pietersen,MK Pandey,JH Kallis"	"S Sreesanth,B Lee,SJ Srivastava,PP Chawla"	51
29	M Chinnaswamy Stadium	2	5.6	Royal Challengers Bangalore	Chennai Super Kings	"B Chipli,W Jaffer,LRPL Taylor"	"MS Gony,JDP Oram"	45
290	Brabourne Stadium	1	5.6	Mumbai Indians	Deccan Chargers	"SR Tendulkar,S Dhawan"	"A Symonds,Jaskaran Singh,RG Sharma,RJ Harris"	53
291	Brabourne Stadium	2	5.6	Deccan Chargers	Mumbai Indians	"VVS Laxman,A Symonds,HH Gibbs,AC Gilchrist"	"Harbhajan Singh,Z Khan,DJ Bravo,SL Malinga"	40
292	MA Chidambaram Stadium	1	5.6	Chennai Super Kings	Rajasthan Royals	"SK Raina,M Vijay,ML Hayden"	"S Narwal,SW Tait,SB Wagh,SR Watson,YK Pathan"	66
293	MA Chidambaram Stadium	2	5.6	Rajasthan Royals	Chennai Super Kings	"MJ Lumb,NV Ojha"	"S Tyagi,JA Morkel,DE Bollinger"	62
294	Eden Gardens	1	5.6	Kolkata Knight Riders	Kings XI Punjab	"CH Gayle,SC Ganguly"	"J Theron,IK Pathan,RR Powar,SJ Srivastava"	53
295	Eden Gardens	2	5.6	Kings XI Punjab	Kolkata Knight Riders	"MS Bisla,DPMD Jayawardene,KC Sangakkara"	"CH Gayle,SE Bond,M Kartik,JD Unadkat"	69
296	Feroz Shah Kotla	1	5.6	Delhi Daredevils	Royal Challengers Bangalore	"G Gambhir,PD Collingwood,V Sehwag,DA Warner"	"A Kumble,R Vinay Kumar,A Mithun,JH Kallis"	54
297	Feroz Shah Kotla	2	5.6	Royal Challengers Bangalore	Delhi Daredevils	"CL White,KP Pietersen,JH Kallis"	"DL Vettori,MF Maharoof,A Mishra"	38
298	Vidarbha Cricket Association Stadium	1	5.6	Rajasthan Royals	Deccan Chargers	"SR Watson,MJ Lumb,NV Ojha,FY Fazal"	"Harmeet Singh,RJ Harris,RP Singh,DR Smith,A Symonds"	48
299	Vidarbha Cricket Association Stadium	2	5.6	Deccan Chargers	Rajasthan Royals	"VVS Laxman,A Symonds,AC Gilchrist,RG Sharma"	"AP Dole,SR Watson,M Morkel,YK Pathan"	52
3	Punjab Cricket Association IS Bindra Stadium	2	5.8	Kings XI Punjab	Chennai Super Kings	"K Goel,JR Hopes"	"MS Gony,JDP Oram"	63
30	Eden Gardens	1	5.6	Kolkata Knight Riders	Mumbai Indians	"RT Ponting,DJ Hussey,BB McCullum,SC Ganguly,DB Das"	"CRD Fernando,DS Kulkarni,DJ Bravo,A Nehra,SM Pollock"	40
300	MA Chidambaram Stadium	1	5.6	Chennai Super Kings	Mumbai Indians	"SK Raina,M Vijay,ML Hayden"	"Harbhajan Singh,SL Malinga,R McLaren"	42
301	MA Chidambaram Stadium	2	5.6	Mumbai Indians	Chennai Super Kings	"SR Tendulkar,S Dhawan"	"S Tyagi,DE Bollinger,R Ashwin"	46
302	Sawai Mansingh Stadium	1	5.7	Kings XI Punjab	Rajasthan Royals	"MS Bisla,DPMD Jayawardene,KC Sangakkara"	"AP Dole,SR Watson,YK Pathan"	52
303	Sawai Mansingh Stadium	2	5.6	Rajasthan Royals	Kings XI Punjab	"MJ Lumb,NV Ojha"	"J Theron,S Sreesanth,RR Powar,PP Chawla"	70
304	Eden Gardens	1	5.6	Kolkata Knight Riders	Delhi Daredevils	"CH Gayle,SC Ganguly"	"PJ Sangwan,DL Vettori,MF Maharoof,A Mishra"	50
305	Eden Gardens	2	5.6	Delhi Daredevils	Kolkata Knight Riders	"V Sehwag,G Gambhir,DA Warner"	"AD Mathews,AB Agarkar,AB Dinda,BAW Mendis"	44
306	M Chinnaswamy Stadium	1	5.6	Royal Challengers Bangalore	Deccan Chargers	"MK Pandey,R Dravid,JH Kallis"	"RP Singh,Harmeet Singh,MR Marsh,RJ Harris"	46
307	M Chinnaswamy Stadium	2	5.6	Deccan Chargers	Royal Challengers Bangalore	"TL Suman,MD Mishra,AC Gilchrist"	"A Kumble,P Kumar,DW Steyn,JH Kallis"	32
308	Punjab Cricket Association IS Bindra Stadium	1	5.6	Mumbai Indians	Kings XI Punjab	"AT Rayudu,SR Tendulkar,S Dhawan"	"IK Pathan,B Lee,PP Chawla,L Ablish"	51
309	Punjab Cricket Association IS Bindra Stadium	2	5.6	Kings XI Punjab	Mumbai Indians	"AB Barath,DPMD Jayawardene,KC Sangakkara"	"Harbhajan Singh,Z Khan,SL Malinga,R McLaren"	56
31	Eden Gardens	2	5.6	Mumbai Indians	Kolkata Knight Riders	"ST Jayasuriya,MK Pandey,RV Uthappa,DJ Bravo,AM Rahane"	"AB Agarkar,AB Dinda,I Sharma"	38
310	M Chinnaswamy Stadium	1	5.7	Kolkata Knight Riders	Royal Challengers Bangalore	"CH Gayle,BB McCullum,SC Ganguly"	"P Kumar,DW Steyn,JH Kallis"	61
311	M Chinnaswamy Stadium	2	5.6	Royal Challengers Bangalore	Kolkata Knight Riders	"R Dravid,S Sriram,JH Kallis"	"AB Agarkar,AB Dinda,I Sharma"	48
312	Vidarbha Cricket Association Stadium	1	5.6	Chennai Super Kings	Deccan Chargers	"SK Raina,M Vijay,ML Hayden"	"Harmeet Singh,RJ Harris,RP Singh,DR Smith,RG Sharma"	55
313	Vidarbha Cricket Association Stadium	2	5.6	Deccan Chargers	Chennai Super Kings	"TL Suman,MD Mishra,AC Gilchrist,RG Sharma"	"SB Jakati,DE Bollinger,R Ashwin"	37
314	Sawai Mansingh Stadium	1	5.6	Mumbai Indians	Rajasthan Royals	"ST Jayasuriya,JP Duminy,AT Rayudu,SR Tendulkar,SS Tiwary"	"AP Dole,SR Watson,AA Jhunjhunwala,YK Pathan"	47
315	Sawai Mansingh Stadium	2	5.7	Rajasthan Royals	Mumbai Indians	"MJ Lumb,AA Jhunjhunwala,NV Ojha,FY Fazal,SR Watson"	"Z Khan,SL Malinga,DS Kulkarni"	34
316	Feroz Shah Kotla	1	5.6	Delhi Daredevils	Kings XI Punjab	"KD Karthik,G Gambhir,V Sehwag,DA Warner,PD Collingwood"	"IK Pathan,RR Powar,PP Chawla,L Ablish"	45
317	Feroz Shah Kotla	2	5.6	Kings XI Punjab	Delhi Daredevils	"IK Pathan,DPMD Jayawardene"	"R Bhatia,MF Maharoof,A Nehra,A Mishra"	39
318	Vidarbha Cricket Association Stadium	1	5.6	Deccan Chargers	Royal Challengers Bangalore	"TL Suman,MD Mishra,AC Gilchrist,HH Gibbs,RG Sharma"	"R Vinay Kumar,DW Steyn,JH Kallis"	35
319	Vidarbha Cricket Association Stadium	2	5.7	Royal Challengers Bangalore	Deccan Chargers	"MK Pandey,R Dravid,JH Kallis"	"RP Singh,PP Ojha,A Symonds,RJ Harris"	38
32	Feroz Shah Kotla	1	5.6	Delhi Daredevils	Royal Challengers Bangalore	"S Dhawan,V Sehwag,G Gambhir"	"Z Khan,P Kumar,DW Steyn"	58
320	MA Chidambaram Stadium	1	5.6	Kolkata Knight Riders	Chennai Super Kings	"AD Mathews,DJ Hussey,BB McCullum,CH Gayle,MK Tiwary,SC Ganguly"	"DE Bollinger,R Ashwin"	22
321	MA Chidambaram Stadium	2	5.6	Chennai Super Kings	Kolkata Knight Riders	"SK Raina,M Vijay,ML Hayden"	"CH Gayle,AB Agarkar,AB Dinda"	67
322	Brabourne Stadium	1	5.6	Mumbai Indians	Delhi Daredevils	"C Madan,SR Tendulkar,SS Tiwary"	"PJ Sangwan,A Mishra,A Nehra,AB McDonald"	44
323	Brabourne Stadium	2	5.7	Delhi Daredevils	Mumbai Indians	"G Gambhir,V Sehwag,DA Warner"	"Harbhajan Singh,Z Khan,CRD Fernando,DJ Bravo"	69
324	Sawai Mansingh Stadium	1	5.6	Rajasthan Royals	Royal Challengers Bangalore	"MJ Lumb,AA Jhunjhunwala,NV Ojha,AG Paunikar,SR Watson"	"Pankaj Singh,A Kumble,R Vinay Kumar,DW Steyn"	30
325	Sawai Mansingh Stadium	2	5.6	Royal Challengers Bangalore	Rajasthan Royals	"KP Pietersen,MK Pandey,RV Uthappa,JH Kallis"	"Kamran Khan,SR Watson,AC Voges,SK Trivedi"	59
326	MA Chidambaram Stadium	1	5.6	Chennai Super Kings	Delhi Daredevils	"SK Raina,ML Hayden,MS Dhoni,M Vijay,MEK Hussey"	"DP Nannes,UT Yadav,A Nehra"	39
327	MA Chidambaram Stadium	2	5.6	Delhi Daredevils	Chennai Super Kings	"KD Karthik,TM Dilshan,G Gambhir,V Sehwag,DA Warner"	"DE Bollinger,R Ashwin"	33
328	Himachal Pradesh Cricket Association Stadium	1	5.6	Kings XI Punjab	Deccan Chargers	"KC Sangakkara,DPMD Jayawardene,SE Marsh"	"RP Singh,MR Marsh,RJ Harris"	43
329	Himachal Pradesh Cricket Association Stadium	2	5.7	Deccan Chargers	Kings XI Punjab	"TL Suman,MD Mishra,AC Gilchrist"	"IK Pathan,VS Malik,J Theron,SJ Srivastava"	45
33	Feroz Shah Kotla	2	5.6	Royal Challengers Bangalore	Delhi Daredevils	"R Dravid,LRPL Taylor,P Kumar,W Jaffer,JH Kallis"	"GD McGrath,Mohammad Asif,VY Mahesh"	55
330	Eden Gardens	1	5.6	Rajasthan Royals	Kolkata Knight Riders	"NV Ojha,SR Watson"	"SE Bond,AB Dinda,JD Unadkat,M Kartik"	46
331	Eden Gardens	2	5.6	Kolkata Knight Riders	Rajasthan Royals	"CA Pujara,CH Gayle,BB McCullum,SC Ganguly"	"Kamran Khan,SR Watson,YK Pathan"	42
332	M Chinnaswamy Stadium	1	5.6	Mumbai Indians	Royal Challengers Bangalore	"SR Tendulkar,R McLaren"	"Pankaj Singh,R Vinay Kumar,DW Steyn,JH Kallis"	34
333	M Chinnaswamy Stadium	2	5.6	Royal Challengers Bangalore	Mumbai Indians	"KP Pietersen,MK Pandey,R Dravid,JH Kallis"	"Z Khan,CRD Fernando,R McLaren"	34
334	Himachal Pradesh Cricket Association Stadium	1	5.6	Kings XI Punjab	Chennai Super Kings	"KC Sangakkara,DPMD Jayawardene,SE Marsh"	"S Tyagi,JA Morkel,DE Bollinger,R Ashwin"	49
335	Himachal Pradesh Cricket Association Stadium	2	5.7	Chennai Super Kings	Kings XI Punjab	"SK Raina,M Vijay,S Badrinath,ML Hayden"	"IK Pathan,RR Powar,VRV Singh"	49
336	Feroz Shah Kotla	1	5.6	Deccan Chargers	Delhi Daredevils	"TL Suman,MD Mishra,AC Gilchrist,RG Sharma"	"DP Nannes,UT Yadav,A Nehra,A Mishra"	38
337	Feroz Shah Kotla	2	5.6	Delhi Daredevils	Deccan Chargers	"TM Dilshan,G Gambhir,V Sehwag,DA Warner,M Manhas"	"MR Marsh,A Symonds,WPUJC Vaas,Harmeet Singh"	39
338	Eden Gardens	1	5.6	Mumbai Indians	Kolkata Knight Riders	"SS Tiwary,JP Duminy,AP Tare,S Dhawan"	"SE Bond,AB Dinda,SC Ganguly,JD Unadkat"	42
339	Eden Gardens	2	5.7	Kolkata Knight Riders	Mumbai Indians	"BB McCullum,SC Ganguly"	"AG Murtaza,CRD Fernando,DJ Bravo,R McLaren"	44
34	Sawai Mansingh Stadium	1	5.6	Rajasthan Royals	Kolkata Knight Riders	"SA Asnodkar,M Kaif,GC Smith"	"AB Agarkar,AB Dinda,Umar Gul,I Sharma"	45
340	Dr DY Patil Sports Academy	1	5.6	Mumbai Indians	Royal Challengers Bangalore	"AT Rayudu,AM Nayar,SR Tendulkar,S Dhawan"	"P Kumar,R Vinay Kumar,DW Steyn"	54
341	Dr DY Patil Sports Academy	2	5.6	Royal Challengers Bangalore	Mumbai Indians	"KP Pietersen,R Dravid,JH Kallis"	"Z Khan,CRD Fernando,SL Malinga"	44
342	Dr DY Patil Sports Academy	1	5.7	Chennai Super Kings	Deccan Chargers	"SK Raina,ML Hayden,S Badrinath,MS Dhoni,M Vijay"	"RP Singh,A Symonds,RJ Harris"	39
343	Dr DY Patil Sports Academy	2	5.6	Deccan Chargers	Chennai Super Kings	"TL Suman,HH Gibbs,AC Gilchrist,RG Sharma"	"DE Bollinger,R Ashwin"	23
344	Dr DY Patil Sports Academy	1	5.6	Deccan Chargers	Royal Challengers Bangalore	"MD Mishra,AC Gilchrist,Anirudh Singh,A Symonds,RG Sharma"	"A Kumble,P Kumar,DW Steyn"	27
345	Dr DY Patil Sports Academy	2	5.7	Royal Challengers Bangalore	Deccan Chargers	"R Dravid,JH Kallis"	"PP Ojha,A Symonds,RJ Harris"	33
346	Dr DY Patil Sports Academy	1	5.7	Chennai Super Kings	Mumbai Indians	"M Vijay,ML Hayden"	"Harbhajan Singh,Z Khan,CRD Fernando,SL Malinga"	40
347	Dr DY Patil Sports Academy	2	5.7	Mumbai Indians	Chennai Super Kings	"AM Nayar,SR Tendulkar,S Dhawan"	"JA Morkel,DE Bollinger,R Ashwin"	33
348	MA Chidambaram Stadium	1	5.6	Chennai Super Kings	Kolkata Knight Riders	"S Anirudha,M Vijay,SK Raina"	"L Balaji,Iqbal Abdulla,YK Pathan,JH Kallis"	45
349	MA Chidambaram Stadium	2	5.7	Kolkata Knight Riders	Chennai Super Kings	"MS Bisla,JH Kallis"	"JA Morkel,TG Southee,R Ashwin,S Randiv"	52
35	Sawai Mansingh Stadium	2	5.7	Kolkata Knight Riders	Rajasthan Royals	"SC Ganguly,AB Agarkar,Salman Butt,BJ Hodge"	"Sohail Tanvir,SR Watson,SK Trivedi"	51
350	Rajiv Gandhi International Stadium	1	5.6	Deccan Chargers	Rajasthan Royals	"IR Jaggi,B Chipli,S Dhawan,KC Sangakkara"	"A Singh,JDP Oram,SK Trivedi,J Botha"	44
351	Rajiv Gandhi International Stadium	2	5.7	Rajasthan Royals	Deccan Chargers	"J Botha,R Dravid,AG Paunikar"	"PP Ojha,DT Christian,I Sharma,DW Steyn"	31
352	Nehru Stadium	1	5.7	Kochi Tuskers Kerala	Royal Challengers Bangalore	"VVS Laxman,BB McCullum"	"TM Dilshan,DP Nannes,A Mithun,Z Khan,DL Vettori"	61
353	Nehru Stadium	2	5.6	Royal Challengers Bangalore	Kochi Tuskers Kerala	"MA Agarwal,V Kohli,TM Dilshan,AB de Villiers"	"RP Singh,RA Jadeja,S Sreesanth,R Vinay Kumar"	48
354	Dr DY Patil Sports Academy	1	5.6	Kings XI Punjab	Pune Warriors	"KD Karthik,AC Gilchrist,SE Marsh,PC Valthaty,AM Nayar,Sunny Singh"	"SB Wagh,AC Thomas,WD Parnell,M Kartik"	36
355	Dr DY Patil Sports Academy	2	5.6	Pune Warriors	Kings XI Punjab	"M Manhas,JD Ryder,GC Smith"	"PP Chawla,P Kumar,NJ Rimmington,R McLaren"	44
356	Feroz Shah Kotla	1	5.6	Delhi Daredevils	Mumbai Indians	"AJ Finch,V Sehwag,DA Warner,NV Ojha,UBT Chand"	"Harbhajan Singh,AG Murtaza,MM Patel,SL Malinga"	38
357	Feroz Shah Kotla	2	5.6	Mumbai Indians	Delhi Daredevils	"DJ Jacobs,AT Rayudu,SR Tendulkar"	"IK Pathan,AB Dinda,M Morkel,UT Yadav"	31
358	Eden Gardens	1	5.6	Kolkata Knight Riders	Deccan Chargers	"MS Bisla,JH Kallis"	"DT Christian,I Sharma,DW Steyn"	46
359	Eden Gardens	2	5.6	Deccan Chargers	Kolkata Knight Riders	"IR Jaggi,B Chipli,S Dhawan,KC Sangakkara"	"Iqbal Abdulla,JD Unadkat,L Balaji,YK Pathan"	30
36	Rajiv Gandhi International Stadium	1	5.6	Deccan Chargers	Kings XI Punjab	"VVS Laxman,HH Gibbs,AC Gilchrist"	"IK Pathan,S Sreesanth,VRV Singh"	50
360	Sawai Mansingh Stadium	1	5.6	Delhi Daredevils	Rajasthan Royals	"AJ Finch,UBT Chand,V Sehwag,DA Warner"	"SW Tait,A Singh,SK Trivedi,J Botha"	30
361	Sawai Mansingh Stadium	2	5.6	Rajasthan Royals	Delhi Daredevils	"J Botha,R Dravid,AG Paunikar"	"RE van der Merwe,IK Pathan,AB Dinda,M Morkel"	57
362	M Chinnaswamy Stadium	1	5.6	Royal Challengers Bangalore	Mumbai Indians	"MA Agarwal,AB de Villiers,V Kohli,TM Dilshan"	"KA Pollard,MM Patel,AG Murtaza,SL Malinga"	24
363	M Chinnaswamy Stadium	2	5.6	Mumbai Indians	Royal Challengers Bangalore	"DJ Jacobs,AT Rayudu,SR Tendulkar"	"Z Khan,DP Nannes,DL Vettori,A Mithun"	40
364	Dr DY Patil Sports Academy	1	5.6	Kochi Tuskers Kerala	Pune Warriors	"RA Jadeja,PA Patel,VVS Laxman,BJ Hodge,BB McCullum,DPMD Jayawardene"	"SB Wagh,AC Thomas,WD Parnell"	37
365	Dr DY Patil Sports Academy	2	5.6	Pune Warriors	Kochi Tuskers Kerala	"JD Ryder,GC Smith,M Manhas"	"RP Singh,M Muralitharan,S Sreesanth,R Vinay Kumar"	44
366	Punjab Cricket Association IS Bindra Stadium	1	5.6	Chennai Super Kings	Kings XI Punjab	"S Anirudha,M Vijay,SK Raina,S Badrinath"	"P Kumar,R McLaren,RJ Harris"	31
367	Punjab Cricket Association IS Bindra Stadium	2	5.6	Kings XI Punjab	Chennai Super Kings	"PC Valthaty,AC Gilchrist"	"JA Morkel,TG Southee,R Ashwin"	65
368	Rajiv Gandhi International Stadium	1	5.6	Deccan Chargers	Royal Challengers Bangalore	"S Sohal,S Dhawan,KC Sangakkara"	"S Aravind,Z Khan,DL Vettori,JJ van der Wath"	41
369	Rajiv Gandhi International Stadium	2	5.6	Royal Challengers Bangalore	Deccan Chargers	"V Kohli,TM Dilshan,MA Agarwal,Z Khan,AB de Villiers"	"MS Gony,I Sharma,DW Steyn"	28
37	Rajiv Gandhi International Stadium	2	5.6	Kings XI Punjab	Deccan Chargers	"RR Sarwan,SE Marsh"	"RP Singh,Shahid Afridi,DNT Zoysa,SB Bangar"	41
370	Sawai Mansingh Stadium	1	5.6	Rajasthan Royals	Kolkata Knight Riders	"AL Menaria,R Dravid,AG Paunikar"	"B Lee,Shakib Al Hasan,L Balaji,JH Kallis"	31
371	Sawai Mansingh Stadium	2	5.6	Kolkata Knight Riders	Rajasthan Royals	"MS Bisla,G Gambhir,JH Kallis"	"SR Watson,ND Doshi,AL Menaria,A Singh"	62
372	Wankhede Stadium	1	5.6	Mumbai Indians	Kochi Tuskers Kerala	"DJ Jacobs,SR Tendulkar"	"RP Singh,R Vinay Kumar,NLTC Perera"	44
373	Wankhede Stadium	2	5.8	Kochi Tuskers Kerala	Mumbai Indians	"BB McCullum,DPMD Jayawardene"	"AG Murtaza,MM Patel,KA Pollard,SL Malinga"	50
374	MA Chidambaram Stadium	1	5.6	Chennai Super Kings	Royal Challengers Bangalore	"M Vijay,MEK Hussey"	"Z Khan,DL Vettori,JJ van der Wath,TM Dilshan"	45
375	MA Chidambaram Stadium	2	5.6	Royal Challengers Bangalore	Chennai Super Kings	"V Kohli,TM Dilshan,MA Agarwal,AUK Pathan,AB de Villiers"	"JA Morkel,TG Southee,R Ashwin"	33
376	Rajiv Gandhi International Stadium	1	5.6	Deccan Chargers	Kings XI Punjab	"S Sohal,S Dhawan,KC Sangakkara"	"P Kumar,R McLaren,RJ Harris"	48
377	Rajiv Gandhi International Stadium	2	5.6	Kings XI Punjab	Deccan Chargers	"PC Valthaty,AC Gilchrist"	"MS Gony,I Sharma,DW Steyn"	62
378	Dr DY Patil Sports Academy	1	5.7	Pune Warriors	Delhi Daredevils	"JD Ryder,GC Smith,M Manhas"	"AB Dinda,IK Pathan,Y Venugopal Rao,UT Yadav"	63
379	Dr DY Patil Sports Academy	2	5.8	Delhi Daredevils	Pune Warriors	"V Sehwag,DA Warner"	"SB Wagh,AC Thomas,WD Parnell"	67
38	MA Chidambaram Stadium	1	5.6	Chennai Super Kings	Delhi Daredevils	"PA Patel,S Vidyut,SP Fleming"	"GD McGrath,PJ Sangwan,Mohammad Asif,VY Mahesh"	47
380	Eden Gardens	1	5.6	Rajasthan Royals	Kolkata Knight Riders	"SR Watson,FY Fazal,AG Paunikar,AS Raut"	"Iqbal Abdulla,B Lee,Shakib Al Hasan,L Balaji"	36
381	Eden Gardens	2	5.6	Kolkata Knight Riders	Rajasthan Royals	"MS Bisla,G Gambhir,JH Kallis"	"SW Tait,SR Watson,SK Warne"	26
